0,39.1,18.7,181,3750,1,0
0,39.5,17.4,186,3800,0,0
0,40.3,18,195,3250,0,0
0,36.7,19.3,193,3450,0,0
0,39.3,20.6,190,3650,1,0
0,38.9,17.8,181,3625,0,0
0,39.2,19.6,195,4675,1,0
0,41.1,17.6,182,3200,0,0
0,38.6,21.2,191,3800,1,0
0,34.6,21.1,198,4400,1,0
0,36.6,17.8,185,3700,0,0
0,38.7,19,195,3450,0,0
0,42.5,20.7,197,4500,1,0
0,34.4,18.4,184,3325,0,0
0,46,21.5,194,4200,1,0
1,37.8,18.3,174,3400,0,0
1,37.7,18.7,180,3600,1,0
1,35.9,19.2,189,3800,0,0
1,38.2,18.1,185,3950,1,0
1,38.8,17.2,180,3800,1,0
1,35.3,18.9,187,3800,0,0
1,40.6,18.6,183,3550,1,0
1,40.5,17.9,187,3200,0,0
1,37.9,18.6,172,3150,0,0
1,40.5,18.9,180,3950,1,0
2,39.5,16.7,178,3250,0,0
2,37.2,18.1,178,3900,1,0
2,39.5,17.8,188,3300,0,0
2,40.9,18.9,184,3900,1,0
2,36.4,17,195,3325,0,0
2,39.2,21.1,196,4150,1,0
2,38.8,20,190,3950,1,0
2,42.2,18.5,180,3550,0,0
2,37.6,19.3,181,3300,0,0
2,39.8,19.1,184,4650,1,0
2,36.5,18,182,3150,0,0
2,40.8,18.4,195,3900,1,0
2,36,18.5,186,3100,0,0
2,44.1,19.7,196,4400,1,0
2,37,16.9,185,3000,0,0
2,39.6,18.8,190,4600,1,0
2,41.1,19,182,3425,1,0
2,36,17.9,190,3450,0,0
2,42.3,21.2,191,4150,1,0
1,39.6,17.7,186,3500,0,0
1,40.1,18.9,188,4300,1,0
1,35,17.9,190,3450,0,0
1,42,19.5,200,4050,1,0
1,34.5,18.1,187,2900,0,0
1,41.4,18.6,191,3700,1,0
1,39,17.5,186,3550,0,0
1,40.6,18.8,193,3800,1,0
1,36.5,16.6,181,2850,0,0
1,37.6,19.1,194,3750,1,0
